,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
333,89618,0.95,-0.23,0.08,-12.93,-30.67,-3.48,1.0
334,89719,0.91,-0.25,0.06,-8.05,64.76,-3.35,1.0
335,89800,1.03,-0.19,0.17,0.18,26.22,5.24,1.0
336,89910,0.96,-0.17,0.03,-13.54,-21.59,-9.63,1.0
337,90021,1.05,-0.16,0.0,-14.33,57.2,-7.93,1.0
338,90094,0.99,-0.19,0.1,26.04,-2.2,5.79,1.0
339,90270,1.17,-0.1,-0.02,-35.06,130.73,-1.46,1.0
340,90360,0.92,-0.23,0.03,7.68,69.21,-37.8,1.0
341,90467,1.28,0.01,0.11,76.89,-33.84,33.23,1.0
342,90566,1.1,0.15,-0.01,55.73,77.32,2.93,1.0
343,90645,1.0,0.25,0.35,24.88,13.84,-53.66,1.0
344,90753,0.77,0.15,0.31,20.3,128.72,-117.07,1.0
345,90861,0.86,-0.34,0.67,-40.18,50.18,-21.59,1.0
346,90932,0.98,1.09,0.49,-10.91,-119.88,-47.5,1.0
347,91041,0.83,0.42,-0.18,52.93,-248.54,-22.32,1.0
348,91148,0.91,0.3,-0.11,64.33,12.62,40.73,1.0
349,91228,1.02,0.22,0.01,-34.51,16.46,-9.33,1.0
350,91327,1.02,0.3,0.13,-139.82,-101.28,-6.65,1.0
351,91407,0.91,0.33,-0.18,13.72,22.93,15.73,1.0
352,91515,0.79,0.24,-0.22,-25.49,165.73,28.35,1.0
353,91618,1.01,-0.04,0.47,55.3,256.22,85.55,1.0
354,91689,0.87,-0.01,0.5,84.63,61.4,63.29,1.0
355,91797,1.0,0.16,0.32,-1.46,16.83,3.9,1.0
356,91903,1.02,0.1,0.3,2.01,33.96,34.15,1.0
357,91983,1.12,0.06,0.37,22.07,-32.62,-24.09,1.0
358,92081,0.51,-0.09,0.62,-35.12,-143.54,105.3,1.0
359,92160,0.93,-0.18,0.18,30.67,9.39,11.52,1.0
360,92271,0.97,-0.13,0.1,-22.32,12.32,-11.04,1.0
361,92380,0.86,-0.2,0.23,-26.34,43.96,15.06,1.0
362,92453,1.07,-0.07,0.25,-0.37,61.04,31.34,1.0
363,92564,0.82,0.0,0.34,13.05,13.17,-35.98,1.0
364,92674,1.01,-0.09,0.27,-20.3,-39.88,38.78,1.0
